Questions,Correct,A,B,C,D
"Which of these statements regarding the mathematical constant, pi is incorrect?", By using larger and larger computers we can one day find the exact value of pi,Pi is transcendental,People compete to see who can memorize the most digits of pi,Lars Erickson wrote a symphony based on pi,By using larger and larger computers we can one day find the exact value of pi
"As you calculate more and more decimal places for the mathematical constant pi, you will eventually reach Feynmans Point.  Which one of these most accurately defines Feynmans Point?", The place where the decimal value of pi shows three 9s in a row,The place where the decimal value of pi shows three 9s in a row,The decimal place where we have five nines in a row,The decimal place where we have six zeros in a row,The last decimal place we know
"Which of these statements regarding the mathematical constant, pi, is incorrect?", There is no zero in the decimal expansion of pi,"In September of 2002, Dr. Yasumasa Kanada at Tokyo University calculated pi to 1.2411trillion decimal places",There is no zero in the decimal expansion of pi,22/7 is a good approximation for the value of pi,The first written reference to the ratio of a circles circumference to its diameter was written about 1650 b.c.e
Waters extraordinary physical properties are a result of its chemical structure - it consists of two hydrogen atoms and one oxygen atom bonded in what type of molecule?, Polar,Diatomic,Nonpolar,Polar,Covalent
"Although it is generally described as a transparent liquid, in seas, lakes and other large water bodies, water appears blue.  What property of water is this attributed to?", Water absorbs light in the red range,Water reflects light in the red range,Water absorbs light in the red range,Water refracts light,Water radiates in the blue range
"High surface tension, one of waters properties, is crucial for the survival of life on the planet, because it enables what vital process?", Transport of nutrients,Dissolving of nutrients,Transport of nutrients,Recycling of nutrients,Formation of nutrients
"In meteorology, virga, a weather phenomenon typical for desert regions, is what form of precipitation?", Precipitation that evaporates before reaching the ground,Precipitation that evaporates before reaching the ground,Highly condensed type of precipitation,Precipitation that freezes before reaching the ground,Precipitation that has not undergone condensation
"Water is divided into soft and hard, depending on its chemical composition. Hard water washes soap from your hands faster, because of its high contents of what?", Minerals,Polar molecules,Minerals,Free electrons,Salts
"Because of its unique properties in interacting with other substances, water is often referred to as the universal what?", Solvent,Stabilizer,Neutralizer,Solvent,Oxidant
"The temperature of large bodies of water tends to vary much less, compared to that of land masses, why?", Water can absorb a tremendous amount of heat,Water can absorb a tremendous amount of heat,Liquids are better heat conductors,Water responds more quickly to temperature changes,Sunlight penetrates water more easily
"This intricate name, given to water, is a common hoax to misleadingly present water as a dangerous and harmful compound.", Dihydrogen monoxide (DHMO),Decaborane,Diborane,Disilane,Dihydrogen monoxide (DHMO)
Rain forests are home to approximately what percentage of all the living animal and plant species on the planet?, 65%,12%,24%,65%,80%
Which of the following is typical for the Rainforest trees and cannot be seen in trees at higher latitudes?, Cauliflory,Large leaves,Fleshy fruits,Cauliflory,Thin bark
"Extract from the Periwinkle plant is one of the worlds most powerful drugs, used to fight this disease.", Cancer,Cancer,Hepatitis B,AIDS,Psoriosis
The Toco Toucans strange appearance is due this., Its bill,Its movement,Its eyes,Its bill,Its feathers
"What does the scientific name of the King cobra, Ophiophagus, mean?", Snake eater,Royal snake,Elephant killer,Deadly reptile,Snake eater
"The source of the Amazon, the widest river in the world, is located in this area of Peru.", Calillona,Arequipa,Lima,Juliaca,Calillona
"123facts.com is a great site, isnt it? But do you know what the .com part stands for?", Commercial,Competition,Composition,Commercial,Communication
Which domain is used by European Union institutions?, .eu,.ue,.ee,.eu,.ec
Who may use the .gov domain?, US federal agencies,Governments of any country (payment goes to UN funds),Governors of US states,US federal agencies,Governments of any country (free)
"If 123facts.de existed, in which language would the quizzes most likely be written?", German,French,Danish,Spanish,German
What is the most likely suffix of a web page established by a Scottish company or individual?, .uk,.gb,.sc,.uk,.br
The .aq domain name is reserved to which of the following?, Organizations that work in or promote Antarctica,Organizations that work in or promote Antarctica,"Countries that have Arctic Ocean shore (Canada, Greenland, Norway, Russia and USA)",Citizens of Antigua and Barbuda,Anyone who pays to the appropriate authority of Argentina
Which domain name is owned by Spain?, .es,.es,Spain is the only country without a national domain,.sp,.hi
"If you established Trivia TV and wanted a web site in the .tv domain, which of the following would earn some money?", Tuvalu,Tuvalu,BBC,Taiwan,CNN
Which of the following owns the .fm domain name that is popular among radio stations?, Federated States of Micronesia,International Broadcasters Union,Federated States of Micronesia,France,Mexico
Which country owns the .ie domain name?, Ireland,Ireland,Northern Ireland (Ulster),Israel,Iceland
What is the most likely suffix of the email address of someone who is Dutch?, .nl,.nl,.hl,.ho,.du
I am from a country in Central Europe. Which domain name do I most likely type to access pages in my native language?, .pl,.pg,.pk,.pa,.pl
What is the chemical symbol for Boron?, B,B,Bn,Br,Bo
What is the chemical symbol for Iron?, Fe,In,Fr,Fe,I
What is the chemical symbol for Lanthanum?, La,Ln,La,L,Lt
What is the chemical symbol for Thorium?, Th,Th,T,Fe,Tr
What is the symbol for Americium?, Am,Am,Ag,Au,Ac
"What is the chemical symbol of Einsteinium, a rare earth metal named after Albert Einstein.", Es,Es,Et,Ei,E
What is the chemical symbol for Ytterbium?, Yb,Ye,Ym,Yb,Yt
What is the chemical symbol for Uranium?, U,Ua,U,Ur,Un
What is the chemical symbol for Vanadium?, V,V,Va,Vn,Vd
The lightest baby weighed this much., 9.87 ounce (280 g),17.63 ounce (500 g),0.70 ounce (20 g),3.88 ounce (110 g),9.87 ounce (280 g)
This is the length of the worlds longest documented hair., 18.37 feet  (5.6 m),13.77 feet (4.2 m),23.95 feet (7.3 m),6.56 feet (2.0 m),18.37 feet  (5.6 m)
The oldest male stripper was that old when the record was documented., 65,78,65,101,54
The greatest age to which any man has ever lived is this., 120 years,134 years,162 years,120 years,104 years
"In 1993 the Scottish hotel-owner Campbell Aird received a bionic organ, which was the first of its kind. This is the organ.", Arm,Ear,Arm,Leg,Eye
This is the length of the longest fingernails., 24.60 feet (7.5 m),14.10 feet (4.3 m),10.49 feet (3.2 m),24.60 feet (7.5 m),27.23 feet (8.3 m)
This is the most rare disease., Smallpox,Smallpox,Brain tumor,Schizophrenia,Glaucoma
The longest coma lasted approximately this long., 37 years,2 years,11 months,24 years,37 years
This is the biggest number of transplanted organs in a person., 4,7,2,4,11
Roy C Sullivan survived this number of lighting strikes., 7,12,7,3,47
"Dinosaurs appeared about 230 million years ago during the Triassic period and became extinct about 160 million years later, during the Cretaceous period. What is the period which marked the peak of dinosaurs reign on land referred to?", Jurassic,Dinosaurian,Carboniferous,Jurassic,Permian
"Despite the fierce image movies have attributed to dinosaurs, approximately this percent of dinosaurs fed on plants and were quite peaceful.", 65 %,65 %,20 %,52 %,90 %
"It is interesting to note that contrary to popular belief, by scientific definiton, there were no dinosaurs of this type.", neither flying nor marine dinosaurs,flying dinosaurs,neither flying nor marine dinosaurs,cold-blooded dinosaurs,marine dinosaurs
"What was the most impressive feature of the Stegosaurus appearance, which makes it the most easily identifiable dinosaur even for the non-expert observer?", Kite-shaped plates,Long neck,Kite-shaped plates,Enormous tail,Long curved horns
"Popularized by the Jurassic Park movie, velociraptors were relatively small carnivorous dinosaurs, which had evolved to be the perfect killers. What feature of their body in particular, helped them become such effective hunters?", An extra claw on their hind limbs,A massive jaw,A strong tail with spikes,Two rows of teeth,An extra claw on their hind limbs
