Questions,Correct,A,B,C,D
What is the most likely suffix of the email address of someone who is Dutch?,A,.nl,.hl,.ho,.du
I am from a country in Central Europe. Which domain name do I most likely type to access pages in my native language?,D,.pg,.pk,.pa,.pl
What is the chemical symbol for Boron?,A,B,Bn,Br,Bo
What is the chemical symbol for Iron?,C,In,Fr,Fe,I
What is the chemical symbol for Lanthanum?,B,Ln,La,L,Lt
What is the chemical symbol for Thorium?,A,Th,T,Fe,Tr
What is the symbol for Americium?,A,Am,Ag,Au,Ac
"What is the chemical symbol of Einsteinium, a rare earth metal named after Albert Einstein.",A,Es,Et,Ei,E
What is the chemical symbol for Ytterbium?,C,Ye,Ym,Yb,Yt
What is the chemical symbol for Uranium?,B,Ua,U,Ur,Un
What is the chemical symbol for Vanadium?,A,V,Va,Vn,Vd
The lightest baby weighed this much.,D,17.63 ounce (500 g),0.70 ounce (20 g),3.88 ounce (110 g),9.87 ounce (280 g)
This is the length of the worlds longest documented hair.,D,13.77 feet (4.2 m),23.95 feet (7.3 m),6.56 feet (2.0 m),18.37 feet  (5.6 m)
The oldest male stripper was that old when the record was documented.,B,78,65,101,54
The greatest age to which any man has ever lived is this.,C,134 years,162 years,120 years,104 years
"In 1993 the Scottish hotel-owner Campbell Aird received a bionic organ, which was the first of its kind. This is the organ.",B,Ear,Arm,Leg,Eye
This is the length of the longest fingernails.,C,14.10 feet (4.3 m),10.49 feet (3.2 m),24.60 feet (7.5 m),27.23 feet (8.3 m)
This is the most rare disease.,A,Smallpox,Brain tumor,Schizophrenia,Glaucoma
The longest coma lasted approximately this long.,D,2 years,11 months,24 years,37 years
This is the biggest number of transplanted organs in a person.,C,7,2,4,11
Roy C Sullivan survived this number of lighting strikes.,B,12,7,3,47
"Dinosaurs appeared about 230 million years ago during the Triassic period and became extinct about 160 million years later, during the Cretaceous period. What is the period which marked the peak of dinosaurs reign on land referred to?",C,Dinosaurian,Carboniferous,Jurassic,Permian
"Despite the fierce image movies have attributed to dinosaurs, approximately this percent of dinosaurs fed on plants and were quite peaceful.",A,65 %,20 %,52 %,90 %
"It is interesting to note that contrary to popular belief, by scientific definiton, there were no dinosaurs of this type.",B,flying dinosaurs,neither flying nor marine dinosaurs,cold-blooded dinosaurs,marine dinosaurs
"What was the most impressive feature of the Stegosaurus appearance, which makes it the most easily identifiable dinosaur even for the non-expert observer?",B,Long neck,Kite-shaped plates,Enormous tail,Long curved horns
"Popularized by the Jurassic Park movie, velociraptors were relatively small carnivorous dinosaurs, which had evolved to be the perfect killers. What feature of their body in particular, helped them become such effective hunters?",D,A massive jaw,A strong tail with spikes,Two rows of teeth,An extra claw on their hind limbs
These are compounds that help protect cells from free radicals.,D,calories,phytochemicals,nutrients,antioxidants
What is the name for all the chemical reactions that take place in the body?,B,nutrition,metabolism,absorption,digestion
Where does the majority of nutrient absorption take place?,B,mouth,small intestine,liver,large intestine
You shouldnt wash berries before you store them.,A,True,False,,Q Animal foods generally contain more saturated fats that plant foods.
Which of the following is high in Vitamin E?,D,Liver,Eggs,Peas,Sunflower seeds
"If you needed a good source of iron, this food would be the best.",D,Peas,Broccoli,Salt,Liver
About how much of an adult humans body is water?,B,40%,60%,30%,70%
Can overnutrition cause malnutrition?,B,No,Yes,,Q Consuming too much alcohol can raise fats in the blood.
There are 12 astronomical constellations.,A,False,True,,"Q This term refers to a celestial body that resembles a star but does not emit light, because it is too small to ignite internal nuclear fusion."
"This astronomical term refers to the outermost layer of the sun, which is a low density cloud of plasma, with higher transparency than the inner layers.",C,Chromosphere,Photosphere,Corona,Solar Wind
This chemical element is the final element produced by stellar nucleosynthesis and the heaviest element which does not require a supernova for its formation.,D,Lead,Carbon,Oxygen,Iron
"This star, the second brightest star in the constellation Orion, is a red supergiant.",C,Spica,Pollux,Betelgeuse,Sirius
"This constellation in the Northern Hemisphere was named after a Greek mythological figure, whose name is translated as ruler over men.",C,Centaurus,Cassiopeia,Andromeda,Hercules
Not all rain reaches the Earths surface.,B,False,True,,Q Convective rain occurs in regions with what daytime whether?
Rain below what pH is considered acid rain?,A,5.6,6.5,6.8,7.5
Who was the first person to study the shape of a raindrop in 1898?,B,Philipp Drimsev,Philipp Lenard,Allton Kertsky,Raymond Hasdroff
"Too much rainfall can kill plants, just like a drought.",A,True,False,,Q What does IC stand for in a computer?
What does RAM stand for?,B,ReadAble Memory,Random Access Memory,Raise All Memory,Erase All Memory
What does the ROM part of a CD-ROM stand for?,B,Erase Only Memory,Read Only Memory,Nothing,Romial Memory
How are hard drives and floppy disks read?,C,Laser,Beam of Nuclear Radiation,Magnetically,Sensor
How are CDs and DVDs read?,B,Sensor,Laser,Beam of Nuclear Radiation,Magnetically
Why is Blue Ray better than Red Ray/Laser?,C,It is stronger.,It gets damaged less.,It can read more memory.,It has more memory.
What is the big green board in the computer called?,A,motherboard,daughter card,father card,son board
What are the little green boards in the computer called?,B,son boards,daughter cards,father cards,motherboards
What is the hottest part of the computer?,C,Fan,RAM,CPU,Hard Drive
What is the long term memory of the computer?,D,Networking Cards,RAM,Motherboards,Hard Drive
Cultural anthropology was one of the two classical divisions of anthropology. What was the other one?,A,Physical Anthropology,Urban Anthropology,Variated Anthropology,Social Anthropology
What does the Greek prefix anthro refer to?,D,study of,Science,Sameness,Mankind
What does the Latin prefix homo refer to?,B,Sameness,Mankind,Study of,Science
What does the prefix pithe refer to?,B,Human,Ape,Invertebrate,Mammal
Who is considered to be the father of anthropology?,B,Louis Leakey,Franz Boas,Robert Bloom,Eugene Dubois
What does australo mean?,B,South Africa,South,The Australian Outback,Australia
What does the suffix lith refer to (as in Neolithic Age)?,A,Stone,Iron,Copper,Early tools
What is the meaning of the prefix paleo (as in the Paleolithic Age)?,D,Meso,New,Modern,Old
What does the term Homo erectus mean?,A,a man who is able to stand upright,a creature that has the ability to reason,a man who can make tools,a hominid
What is the subject of study of paleoanthropology?,A,ancient human  fossils,the earliest human discoveries and accomplishments,older people,old cultures and societies
"In 1924, Raymond Dart discovered a fossil which he called Australopithecanthropus africanis.  What is the meaning of the name?",D,None of these,The old man from Australia,The man from the Mesolithic Age,The ape man from southern Africa
Who found and named  the first Homo Erectus in 1891?,A,Eugene Dubois,Franz Boas,Louis and Mary Leakey,David Johannson
Which fossil was proved to be a hoax?,D,Cro-Magnon Man,Neanderthal Man,Kennewick Man,Piltdown Man
The earliest known European example of Homo sapiens was discovered in 1868 and was given what name?,A,Cro Magnon Man,Neaanderthal Man,Austrlopithecus,Peking Man
The Peking Man is an example of what species of the genus Homo?,C,Homo sapiens,Pithecanthropus,Homo erectus,Homo habilis
What does the abbreviation AIDS actually stand for?,B,Acute immune deficiency symptom,Acquired immune deficiency syndrome,Acute immune deficient syndrome,Acquired immune deficient symptom
In 1981 people with AIDS were diagnosed with the term GRID. What did GRID mean?,C,Great Risk of Immune Disease,Grave Risk of Immune Deficiency,Gay-Related Immune Deficiency,Grievous Ravishing Immune Disease
